BANCO;FECHA;ACTIVO;PASIVO;CAPITAL
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2020-07-31;5374711000;5198353000;176358000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2020-08-31;5010882000;4832666000;178216000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2020-09-30;5329524000;5148101000;181423000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2020-10-31;5150878000;4963944000;186934000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2020-11-30;4997677000;4806250000;191427000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2020-12-31;5701976000;5468203000;233773000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-01-31;5231404000;4985605000;245799000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-02-28;5393023000;5139261000;253762000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-03-31;5356311000;5087142000;269169000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-04-30;5534610000;5253869000;280741000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-05-31;5603350000;5310799000;292551000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-06-30;5697101000;5394659000;302442000
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;2021-07-31;5573490000;5295979000;277511000
INMOBILIARIO, S. A.;2020-07-31;1880192000;1558498000;321694000
INMOBILIARIO, S. A.;2020-08-31;1870560000;1547420000;323140000
INMOBILIARIO, S. A.;2020-09-30;1911577000;1587825000;323752000
INMOBILIARIO, S. A.;2020-10-31;1894307000;1568113000;326194000
INMOBILIARIO, S. A.;2020-11-30;1945686000;1618324000;327362000
INMOBILIARIO, S. A.;2020-12-31;1987348000;1654549000;332799000
INMOBILIARIO, S. A.;2021-01-31;2037146000;1702746000;334400000
INMOBILIARIO, S. A.;2021-02-28;1981535000;1648941000;332594000
INMOBILIARIO, S. A.;2021-03-31;1972203000;1636625000;335578000
INMOBILIARIO, S. A.;2021-04-30;2037961000;1700380000;337581000
INMOBILIARIO, S. A.;2021-05-31;2010207000;1670702000;339505000
INMOBILIARIO, S. A.;2021-06-30;2040048000;1699113000;340935000
INMOBILIARIO, S. A.;2021-07-31;2056943000;1713945000;342998000
DE LOS TRABAJADORES;2020-07-31;27573137000;23964884000;3608253000
DE LOS TRABAJADORES;2020-08-31;28485681000;24806786000;3678895000
DE LOS TRABAJADORES;2020-09-30;28563518000;24814665000;3748853000
DE LOS TRABAJADORES;2020-10-31;29184911000;25355716000;3829195000
DE LOS TRABAJADORES;2020-11-30;28029407000;24117870000;3911537000
DE LOS TRABAJADORES;2020-12-31;27839545000;23956103000;3883442000
